,Human,Gorilla,Baboon,Sooty_Mangabey,Chimp_ptt,Colobus_Monkey,Vervet,Tantalus_Monkey,Red-capped_Mangabey,Chimp_pts,DeBrazzas_Monkey,Mandrill,Western_red_colobus,Sabaeus_Monkey,Red-eared_Guenon
Human,,1.62301980585,0.753875451467,0.387128844934,0.618510773456,0.597304316005,0.454249252137,0.454249252137,2.12530019752,4.98046151114,0.507417343432,0.552159890159,5.06174215483,0.41328526772,1.65613497836
Gorilla,94999990.55,,0.504448664616,0.466015502974,4.20934761511,0.606381903576,0.442510751889,0.463071333267,0.841918530702,4.22050249358,0.480762490923,0.531230350658,1.4925019875,0.416200082255,0.967100026126
Baboon,1.40717856661,2.53175017079,,1.45323030581,1.75291825332,6.22994142531,1.57917084983,1.87053134304,7.29531575581,3.6789743343,1.76419372118,2.19788270803,4.80237274074,1.66721723034,2.76363478051
Sooty_Mangabey,94999990.55,0.612442701674,0.573176948633,,0.427876501502,0.621547541072,0.372657053632,0.525266480687,0.925037495861,0.655072687428,0.552159890159,0.912163107034,4.83885837998,0.489631650972,0.925037495861
Chimp_ptt,94999990.55,28.2236986668,0.463071333267,0.318048475864,,0.448376539329,0.306628821939,0.329494756785,0.908949476797,3.55652162793,0.352467572999,0.372657053632,1.73043490283,0.286708219884,0.810301540765
Colobus_Monkey,0.424954819494,3.29885975575,0.756994026389,0.395832302517,0.769487318615,,0.477809602922,0.600328366093,5.02411491987,0.937943761848,0.753875451467,0.892911035598,4.58141753699,0.546171115165,2.90345553394
Vervet,0.603354228073,1.74541380723,94999990.55,0.552159890159,0.822925110304,0.760114498832,,1.74541380723,1.06878603826,3.38689164125,0.633712861338,0.679594441969,1.61935247367,0.648960697297,1.40012803182
Tantalus_Monkey,0.782011082282,1.59739916434,1.09202143211,0.870540073327,0.804001326636,1.36151244579,28.9111462005,,1.63036173225,3.15003582492,0.99968750704,1.62668955791,7.16254648458,4.80237274074,1.76043272205
Red-capped_Mangabey,0.14673815086,2.78149877643,0.281031475561,94999990.55,0.963852400041,7.64539599054,0.381335040178,4.40721445894,,31.8296388823,94999990.55,94999990.55,1.04895097126,47.2760603443,2.76363478051
Chimp_pts,0.338096997513,4.37859879551,0.498516587764,0.358227565136,24.4969636402,0.549164610413,0.258390201323,0.392929447935,0.64590746035,,0.504448664616,0.876921943444,20.3451233672,0.266868384814,1.10534472802
DeBrazzas_Monkey,0.448376539329,1.71549584918,0.78514679743,0.621547541072,0.667318779199,4.13176845623,0.463071333267,0.728994955628,1.59374870451,1.31275926947,,2.12129423654,6.2446285764,0.78514679743,6.56717212775
Mandrill,0.247108826525,1.12539263642,0.442510751889,0.289549063777,0.448376539329,3.81425000925,0.292391557404,0.335227911489,1.39308660625,0.870540073327,0.694980768072,,5611.00078704,0.448376539329,2.89433869901
Western_red_colobus,0.378440683408,2.42117206362,0.667318779199,0.474858461676,0.719695870305,17.2871250918,0.483717127229,0.549164610413,20.6115975986,2.16551223063,1.31275926947,1.23019287012,,0.49259154152,6.49857415584
Sabaeus_Monkey,0.477809602922,1.39660618149,0.673452907519,0.603354228073,0.597304316005,0.937943761848,19.9284376552,33703.5318737,1.21655424074,1.93220201409,0.652015772437,0.976855011096,1.97499010765,,1.68944791896
Red-eared_Guenon,1.04565236282,3.86172553748,1.26444180614,1.18599372829,1.49967256853,3.66868228236,0.983368442152,1.01277938528,5.07432792831,1.79059122593,1.83232391701,1.54651034343,4.29909783196,0.996419630803,
